id,origen_lat,origen_lon,destino_lat,destino_lon,distancia_metros,veces_transitado,fecha_creacion,fuente,15412,osrm
6158,3.446104,-76.553064,3.4462,-76.552821,29,1,"2026-02-05T20:31:25,123",osrm,,
3010,3.487312,-76.514066,3.48731,-76.513853,23,1,"2026-02-03T15:07:45,664",gps,,
7330,3.4859867,-76.5157783,3.4862433,-76.5157717,29,1,"2026-02-06T00:25:12,079",gps,,
6181,3.446891,-76.548539,3.446899,-76.548423,12,5,"2026-02-05T20:31:25,123",osrm,,
6184,3.446958,-76.547217,3.446965,-76.546969,27,5,"2026-02-05T20:31:25,123",osrm,,
9617,3.45797149,-76.54932597,3.45592319,-76.54856164,243,85,"2026-02-06T15:14:39,370",osrm,,
4889,3.464351,-76.515157,3.46441,-76.515066,12,74,"2026-02-05T08:31:21,325",gps,,
9723,3.45144261,-76.56933135,3.45164876,-76.56682349,279,71,"2026-02-06T15:14:49,027",osrm,,
8169,3.44339119,-76.51926624,3.44305892,-76.5194391,41,29,"2026-02-06T14:49:26,132",osrm,,
14748,3.507969,-76.520338,3.507905,-76.520379,8,8,"2026-02-06T16:39:25,917",osrm,,
6632,3.407889,-76.539539,3.405197,-76.540479,317,17,"2026-02-05T23:29:09,026",osrm,,
8136,3.49190367,-76.51812998,3.4912442,-76.51837967,78,127,"2026-02-06T14:49:26,132",osrm,,
935,3.490223,-76.510651,3.490167,-76.510597,8,1,"2026-02-02T14:26:27,531",gps,,
21132,3.38830156,-76.54118185,3.3884219,-76.53990132,142,1,"2026-02-07T12:47:11,227",osrm,,
937,3.490116,-76.51054,3.490068,-76.51048,8,1,"2026-02-02T14:26:27,531",gps,,
938,3.490068,-76.51048,3.490025,-76.510416,8,1,"2026-02-02T14:26:27,531",gps,,
11112,3.388011,-76.52429204,3.38921186,-76.52418351,134,108,"2026-02-06T15:26:52,613",osrm,,
13881,3.47581082,-76.48736482,3.47611983,-76.48734363,34,16,"2026-02-06T16:20:23,611",osrm,,
