table_name|column_name|data_type|character_maximum_length|column_default|is_nullable
CONFIGURACION_PRECIOS|id|integer|||NO
CONFIGURACION_PRECIOS|descuento_competencia|integer|||YES
CONFIGURACION_PRECIOS|recargo_escaso|integer|||YES
CONFIGURACION_PRECIOS|redondeo_superior|integer|||YES
CONFIGURACION_PRECIOS|ganancia_min_escaso|integer|||YES
CONFIGURACION_PRECIOS|ganancia_max_escaso|integer|||YES
CONFIGURACION_PRECIOS|base_escaso|text|||YES
CONFIGURACION_PRECIOS|usar_precio|text|||YES
CONFIGURACION_PRECIOS|permitir_publicar_sin_cotizaciones|integer|||YES
CONFIGURACION_PRECIOS|recargo_1_cotizacion|integer|||YES
CONFIGURACION_PRECIOS|pedido_min_domicilio_gratis|integer|||YES
CONFIGURACION_PRECIOS|umbral_brecha_2cot_baja|integer|||YES
CONFIGURACION_PRECIOS|umbral_brecha_2cot_alta|integer|||YES
CONFIGURACION_PRECIOS|costo_operario_domicilio|integer|||YES
CONFIGURACION_PRECIOS|precio_domicilio|integer|||YES
CONFIGURACION_SISTEMA|id|integer|||NO
CONFIGURACION_SISTEMA|whatsapp_numero|text|||YES
CONFIGURACION_SISTEMA|telegram_token|text|||YES
CONFIGURACION_SISTEMA|telegram_chat_id|text|||YES
CONFIGURACION_SISTEMA|notificaciones_activas|boolean|||YES
CONFIGURACION_SISTEMA|mensaje_bienvenida_whatsapp|text|||YES
CONFIGURACION_SISTEMA|fecha_actualizacion|timestamp without time zone|||YES
CONFIGURACION_SISTEMA|monto_validacion_whatsapp|text|||YES
DIAGNOSTICOS|id|integer|||NO
DIAGNOSTICOS|descripcion|text|||YES
DIAGNOSTICOS|descripcion_lower|text|||YES
DIAGNOSTICO_MEDICAMENTO|diagnostico_id|integer|||YES
DIAGNOSTICO_MEDICAMENTO|medicamento_id|integer|||YES
DIAGNOSTICO_SINTOMA|diagnostico_id|integer|||YES
DIAGNOSTICO_SINTOMA|sintoma_id|integer|||YES
FABRICANTES|id|integer|||NO
FABRICANTES|nombre|text|||YES
MEDICAMENTOS|id|integer|||NO
MEDICAMENTOS|nombre|text|||YES
MEDICAMENTOS|presentacion|text|||YES
MEDICAMENTOS|concentracion|text|||YES
MEDICAMENTOS|activo|boolean|||YES
MEDICAMENTOS|codigo_atc_puro|text|||YES
MEDICAMENTOS|descripcion_tecnica_atc|text|||YES
MEDICAMENTOS|uso|text|||YES
MEDICAMENTOS|stock_actual|integer|||YES
MEDICAMENTOS|imagen|text|||YES
MEDICAMENTOS|componente_activo_id|integer|||YES
MEDICAMENTOS|texto_fuente|text|||YES
MEDICAMENTO_SINTOMA|medicamento_id|integer|||YES
MEDICAMENTO_SINTOMA|sintoma_id|integer|||YES
NAVEGACION_MENU|id|integer|||NO
NAVEGACION_MENU|nombre_corto|text|||YES
NAVEGACION_MENU|url|text|||YES
NAVEGACION_MENU|descripcion|text|||YES
NAVEGACION_MENU|activo|boolean|||YES
NAVEGACION_MENU|orden|integer|||YES
NAVEGACION_MENU|fecha_creacion|timestamp without time zone|||YES
NAVEGACION_MENU|fecha_actualizacion|timestamp without time zone|||YES
NAVEGACION_MENU|fecha_ultimo_uso|timestamp without time zone|||YES
PRECIOS|id|integer|||NO
PRECIOS|medicamento_id|integer|||YES
PRECIOS|fabricante_id|integer|||YES
PRECIOS|precio|numeric|||YES
PRECIOS|fecha_actualizacion|timestamp without time zone|||YES
PRECIOS|stock_fabricante|integer|||YES
PRECIOS|imagen|text|||YES
PRECIOS|costo_unitario|numeric|||YES
RECETAS|id|integer|||NO
RECETAS|paciente_id|integer|||YES
RECETAS|medicamento_id|integer|||YES
RECETAS|dosis|text|||YES
RECETAS|frecuencia|text|||YES
RECETAS|duracion_dias|text|||YES
RECETAS|fecha_emision|timestamp without time zone|||YES
RECETAS|sintomas_base|text|||YES
SINTOMAS|id|integer|||NO
SINTOMAS|nombre|text|||YES
SINTOMAS|descripcion_lower|text|||YES
USUARIOS|id|integer|||NO
USUARIOS|dispositivo_id|text|||YES
USUARIOS|nombre|text|||YES
USUARIOS|fecha_registro|timestamp without time zone|||YES
USUARIOS|edad|text|||YES
USUARIOS|peso_aprox|text|||YES
USUARIOS|genero|text|||YES
USUARIOS|responsable_id|integer|||YES
USUARIOS|rol|text|||YES
USUARIOS|estado_organos|text|||YES
USUARIOS|usuario|text|||YES
USUARIOS|password|text|||YES
USUARIO_DISPOSITIVO|usuario_id|integer|||YES
USUARIO_DISPOSITIVO|dispositivo_id|text|||YES
USUARIO_DISPOSITIVO|fecha_vinculacion|timestamp without time zone|||YES
alertas_admin|id|integer|||NO
alertas_admin|tipo|text|||YES
alertas_admin|mensaje|text|||YES
alertas_admin|usuario_id|integer|||YES
alertas_admin|leida|integer|||YES
alertas_admin|fecha_creacion|timestamp without time zone|||YES
archivos|id|integer|||NO
archivos|nombre_archivo|text|||YES
archivos|descripcion|text|||YES
archivos|ruta|text|||YES
archivos|fecha_creacion|timestamp without time zone|||YES
archivos|fecha_actualizacion|timestamp without time zone|||YES
categorias|id|integer|||NO
categorias|nombre|text|||YES
categorias|descripcion|text|||YES
categorias|imagen|text|||YES
categorias|orden|integer|||YES
categorias|activo|boolean|||YES
categorias|es_destacada|boolean|||YES
categorias|fecha_creacion|timestamp without time zone|||YES
categorias|fecha_actualizacion|timestamp without time zone|||YES
colaboradores_entrega|id|integer|||NO
colaboradores_entrega|tercero_id|integer|||YES
colaboradores_entrega|activo|text|||YES
colaboradores_entrega|fecha_creacion|timestamp without time zone|||YES
componentes_activos_sugerencias|id|integer|||NO
componentes_activos_sugerencias|medicamento_id|integer|||YES
componentes_activos_sugerencias|nombre_medicamento|text|||YES
componentes_activos_sugerencias|nombre_base_extraido|text|||YES
componentes_activos_sugerencias|componente_activo_sugerido|text|||YES
componentes_activos_sugerencias|componente_activo_id_sugerido|integer|||YES
componentes_activos_sugerencias|necesita_crear_nuevo|integer|||YES
componentes_activos_sugerencias|confianza|text|||YES
componentes_activos_sugerencias|fuente_validacion|text|||YES
componentes_activos_sugerencias|observaciones|text|||YES
componentes_activos_sugerencias|estado|text|||YES
componentes_activos_sugerencias|fecha_analisis|timestamp without time zone|||YES
enfermedad_sintoma_dataset|id|integer|||NO
enfermedad_sintoma_dataset|enfermedad_id|integer|||YES
enfermedad_sintoma_dataset|sintoma_id|integer|||YES
enfermedad_sintoma_dataset|frecuencia|text|||YES
enfermedad_sintoma_dataset|fuente|text|||YES
enfermedad_sintoma_dataset|fecha_importacion|timestamp without time zone|||YES
enfermedades_catalogo|id|integer|||NO
enfermedades_catalogo|codigo|text|||YES
enfermedades_catalogo|codigo_padre_0|text|||YES
enfermedades_catalogo|codigo_padre_1|text|||YES
enfermedades_catalogo|codigo_padre_2|text|||YES
enfermedades_catalogo|codigo_padre_3|text|||YES
enfermedades_catalogo|codigo_padre_4|text|||YES
enfermedades_catalogo|descripcion|text|||YES
enfermedades_catalogo|descripcion_lower|text|||YES
enfermedades_catalogo|nivel|integer|||YES
enfermedades_catalogo|fuente|text|||YES
enfermedades_catalogo|fecha_importacion|timestamp without time zone|||YES
enfermedades_dataset|id|integer|||NO
enfermedades_dataset|nombre_original|text|||YES
enfermedades_dataset|nombre_espanol|text|||YES
enfermedades_dataset|nombre_lower|text|||YES
enfermedades_dataset|fecha_importacion|timestamp without time zone|||YES
existencias|id|integer|||NO
existencias|medicamento_id|integer|||YES
existencias|fabricante_id|integer|||YES
existencias|tipo_movimiento|text|||YES
existencias|cantidad|integer|||YES
existencias|fecha|timestamp without time zone|||YES
existencias|id_tercero|integer|||YES
existencias|pedido_id|integer|||YES
existencias|estado|text|||YES
existencias|numero_documento|text|||YES
existencias|costo_unitario|numeric|||YES
existencias|precio_unitario|numeric|||YES
existencias|precio_total|numeric|||YES
indicaciones_rechazadas|id|integer|||NO
indicaciones_rechazadas|indicacion_nombre|text|||YES
indicaciones_rechazadas|fecha_rechazo|timestamp without time zone|||YES
indicaciones_rechazadas|admin_id|integer|||YES
medicamento_categoria|id|integer|||NO
medicamento_categoria|medicamento_id|integer|||YES
medicamento_categoria|categoria_id|integer|||YES
medicamento_categoria|fecha_agregado|timestamp without time zone|||YES
medicamentos_top|id|integer|||NO
medicamentos_top|componente_activo|text|||YES
medicamentos_top|descripcion|text|||YES
medicamentos_top|laboratorio|text|||YES
medicamentos_top|orden|integer|||YES
medicamentos_top|activo|boolean|||YES
medicamentos_top|fecha_agregado|timestamp without time zone|||YES
mensajes|id|integer|||NO
mensajes|remitente_id|integer|||YES
mensajes|destinatario_id|integer|||YES
mensajes|mensaje|text|||YES
mensajes|tipo|text|||YES
mensajes|pastillero_id|integer|||YES
mensajes|estado|text|||YES
mensajes|fecha|timestamp without time zone|||YES
navegacion_anonima|id|integer|||NO
navegacion_anonima|dispositivo_id|integer|||YES
navegacion_anonima|fecha_hora|timestamp without time zone|||YES
navegacion_anonima|url_visitada|text|||YES
parametros_sistema|id|integer|||NO
parametros_sistema|nombre|text|||YES
parametros_sistema|valor_numerico|text|||YES
parametros_sistema|valor_texto|integer|||YES
parametros_sistema|valor_booleano|text|||YES
parametros_sistema|tipo|text|||YES
parametros_sistema|descripcion|text|||YES
parametros_sistema|fecha_actualizacion|timestamp without time zone|||YES
pastillero_contactos_adicionales|id|integer|||NO
pastillero_contactos_adicionales|usuario_id|integer|||YES
pastillero_contactos_adicionales|contacto_id|integer|||YES
pastillero_contactos_adicionales|fecha_agregado|timestamp without time zone|||YES
pastillero_usuarios|id|integer|||NO
pastillero_usuarios|usuario_id|integer|||YES
pastillero_usuarios|medicamento_id|integer|||YES
pastillero_usuarios|nombre|text|||YES
pastillero_usuarios|cantidad|numeric|||YES
pastillero_usuarios|unidad|text|||YES
pastillero_usuarios|fecha_agregado|timestamp without time zone|||YES
pastillero_usuarios|fecha_actualizado|timestamp without time zone|||YES
pastillero_usuarios|horas_entre_tomas|integer|||YES
pastillero_usuarios|proxima_toma|timestamp without time zone|||YES
pastillero_usuarios|recordatorio_activo|boolean|||YES
pastillero_usuarios|pastillero_id|integer|||YES
pastillero_usuarios|tipo_medicamento|text|||YES
pastillero_usuarios|alerta_reposicion|boolean|||YES
pastillero_usuarios|nivel_minimo_alerta|integer|||YES
pastillero_usuarios|fecha_inicio_tratamiento|timestamp without time zone|||YES
pastillero_usuarios|fecha_fin_tratamiento|timestamp without time zone|||YES
pastillero_usuarios|tomas_completadas|integer|||YES
pastillero_usuarios|alerta_pospuesta_hasta|text|||YES
pastilleros|id|integer|||NO
pastilleros|nombre|text|||YES
pastilleros|creado_por_usuario_id|integer|||YES
pastilleros|fecha_creacion|timestamp without time zone|||YES
pedidos|id|integer|||NO
pedidos|id_tercero|integer|||YES
pedidos|fecha|timestamp without time zone|||YES
pedidos|total|numeric|||YES
pedidos|metodo_pago|text|||YES
pedidos|costo_domicilio|numeric|||YES
pedidos|direccion_entrega|text|||YES
pedidos|latitud_entrega|text|||YES
pedidos|longitud_entrega|text|||YES
pedidos|estado|text|||YES
pedidos|notas|text|||YES
pedidos|tiempo_estimado_entrega|text|||YES
precios_competencia|id|integer|||NO
precios_competencia|medicamento_id|integer|||YES
precios_competencia|competidor_id|integer|||YES
precios_competencia|precio|numeric|||YES
precios_competencia|fecha_actualizacion|timestamp without time zone|||YES
precios_competencia|fuente_url|text|||YES
precios_competencia|observaciones|text|||YES
precios_competencia|imagen|text|||YES
precios_competencia|fabricante_id|integer|||YES
precios_competencia|url|text|||YES
precios_competencia|activo|boolean|||YES
precios_competencia|inactivo_hasta|text|||YES
precios_competencia_new|id|integer|||NO
precios_competencia_new|medicamento_id|integer|||YES
precios_competencia_new|competidor_id|integer|||YES
precios_competencia_new|precio|text|||YES
precios_competencia_new|fecha_actualizacion|timestamp without time zone|||YES
